pal_id,catchable,min_level,max_level,wild_min_level,wild_max_level,common_wild_min_level,common_wild_max_level,boss_min_level,boss_max_level,day_count,night_count,world_tree_day_count,world_tree_night_count,summary,map_source_url
128:0,true,10,66,10,66,30,30,,,137,137,0,0,有着将骨骼和身躯暂时分离，用骨骼斩断敌人的疯狂生态。 如若不赶快收回体内，自己也会力竭倒下。 有传言在年轻的个体间流行着比赛身体分离时长的危险游戏，但真假未知。,https://paldb.cc/cn/Palpagos_Islands?pal=SwordCutlassfish&t=dayTimeLocations
116:0,true,36,45,36,43,36,36,40,45,49,49,0,0,它喜欢下雨天气，每当下雨， 它总会站在原地不动享受雨水。 火绒狐会常常跑来躲雨。,https://paldb.cc/cn/Palpagos_Islands?pal=WhiteMoth&t=dayTimeLocations
101:0,true,32,80,32,80,32,32,42,45,64,64,0,0,它碧蓝通透的尖角闪耀着绝对零度的光芒。 如果用手直接碰触，全身会立即冻结， 连同性命一起崩解四散。,https://paldb.cc/cn/Palpagos_Islands?pal=IceDeer&t=dayTimeLocations
94:0,true,10,80,10,80,30,30,,,38,38,0,0,虽然看起来无精打采，但实际上相当凶猛。 它将眼中所见之物全部视为食物， 并不惜一切代价捕食。,https://paldb.cc/cn/Palpagos_Islands?pal=LazyDragon&t=dayTimeLocations
129:0,true,23,50,23,48,46,46,36,50,23,23,0,0,它的全身上下都流淌着如岩浆般的血液。 若往它身上大量泼水，这些水会瞬间遇热蒸发。 随后便会引发大规模的水蒸气爆炸。,https://paldb.cc/cn/Palpagos_Islands?pal=VolcanicMonster&t=dayTimeLocations
79:0,true,20,61,20,61,25,25,27,29,45,615,0,0,这种帕鲁能操控阴之力量，施展奇妙的法术。 不论任何食物都喜欢生吃。 和焰巫狐的关系相当不好。,https://paldb.cc/cn/Palpagos_Islands?pal=CatMage&t=dayTimeLocations
102:0,true,27,80,32,80,32,32,27,29,52,52,0,0,它拥有令人难以置信的力量。 在某次实验中，它甚至可以轻松撕破3000张叠在一起的纸。 你我都该庆幸它并不是肉食性帕鲁。,https://paldb.cc/cn/Palpagos_Islands?pal=GrassPanda&t=dayTimeLocations
107:0,true,17,44,22,44,33,35,17,40,660,660,0,0,过去有则寓言故事叫做「碎岩龟的钻头」。 那是个关于拥有最强甲壳和钻头的碎岩龟 思考矛盾的道德故事。,https://paldb.cc/cn/Palpagos_Islands?pal=DrillGame&t=dayTimeLocations
135:0,true,29,67,29,67,45,46,51,52,10,649,0,0,古人曾认为，越接近世界末日，恐炬灵的火焰就越弱。 末日主义者曾屡次因火焰减弱了而产生骚乱， 最后发现火势强弱全看它的心情， 至少到目前还是这样的。,https://paldb.cc/cn/Palpagos_Islands?pal=CandleGhost&t=dayTimeLocations
134:0,true,23,80,23,80,45,48,42,45,53,53,0,0,研究者为了揭开它的内部结构，而将它的毛都剃光。 结果只剩下满地毛发， 仿佛从最开始这团毛里面就空无一物。,https://paldb.cc/cn/Palpagos_Islands?pal=Yeti&t=dayTimeLocations
165:0,true,63,69,63,66,65,65,65,69,37,37,0,0,聆听大地的声响，避开不稳固的落脚点奔跑。 但若与某些地面不投缘，它就会被迷了眼， 然后摔得兔仰马翻。,https://paldb.cc/cn/Palpagos_Islands?pal=BrownRabbit&t=dayTimeLocations
167:0,true,65,66,65,66,65,65,66,66,42,42,0,0,想吃就吃，想睡就睡，想干什么就干什么。 电懒懒们为了维持这样的生活，一定也在我们看不见的地方努力着。 ......如果不强迫自己这么想的话，以前的岛民们的日子就没法过了。,https://paldb.cc/cn/Palpagos_Islands?pal=ElecLizard&t=dayTimeLocations
141:0,true,13,49,13,49,48,48,,,70,70,0,0,身怀5000多种毒素。 虽然其中甚至有能够立刻致死的可怕剧毒， 但是由于剂量都太低了，并没有什么卵用。,https://paldb.cc/cn/Palpagos_Islands?pal=ScorpionMan&t=dayTimeLocations
149:0,true,50,66,50,66,50,50,55,60,1621,1621,0,0,黑色火焰即便摸上去也不过只是微热 但是持续接触的物体则会慢慢从内部开始融化。 如果用来烤乳酪，可谓绝品。,https://paldb.cc/cn/Palpagos_Islands?pal=BlackPuppy&t=dayTimeLocations
68:0,true,22,39,22,38,34,34,39,39,43,43,0,0,它是统御骑士蜂的天选女王。 为伟大女王效力的喜悦 让无数甘愿为其劳动至死的仆人络绎不绝。,https://paldb.cc/cn/Palpagos_Islands?pal=QueenBee&t=dayTimeLocations
91:0,true,10,44,10,44,30,36,36,38,105,105,0,0,它会在夜晚捕猎后，将猎物带回自己的领地。 那些被抓住的帕鲁，之后会遭受何种对待， 就不难想象了。,https://paldb.cc/cn/Palpagos_Islands?pal=Baphomet&t=dayTimeLocations
117:0,true,27,59,27,59,40,46,42,45,0,356,0,0,它喜欢生物濒死时身体所散发的独特气味。 因此一旦被噬魂兽黏上了， 也就代表着大限将至。,https://paldb.cc/cn/Palpagos_Islands?pal=GhostBeast&t=dayTimeLocations
98:0,true,13,58,13,58,31,31,37,40,235,235,0,0,当它全速冲刺时就宛如一道闪电一般。 如果霹雳犬同类之间发生冲突， 更会不断响起雷鸣般的轰隆声。,https://paldb.cc/cn/Palpagos_Islands?pal=ThunderDog&t=dayTimeLocations
147:0,true,50,66,50,66,52,52,56,65,639,639,0,0,因为它头脑聪明，行为举止富有格调 在岛上的贵族间，曾被作为照顾起居的近侍。 但是由于在晚上碰到的话，非常容易被脸吓到 很快就失去了人气。,https://paldb.cc/cn/Palpagos_Islands?pal=BlueberryFairy&t=dayTimeLocations
112:0,true,30,80,35,80,35,35,30,38,57,57,0,0,它比较喜欢吃生肉，但每次吃到肚里的都成了全熟的肉。 这是因为它以灼热利爪为武器， 但却不知猎物会因此被烤成焦炭。,https://paldb.cc/cn/Palpagos_Islands?pal=Manticore&t=dayTimeLocations
115:0,true,35,77,35,77,35,35,,,10,10,26,26,虽然摆出一副双手叉腰，一副如画般的神气姿态， 但是实际上，由于尾巴和头发过于沉重， 它不过是为了不摔倒而拼命保持平衡罢了。,https://paldb.cc/cn/Palpagos_Islands?pal=DarkFlameFox&t=dayTimeLocations
93:0,true,30,80,30,80,30,35,36,38,93,93,0,0,这种帕鲁全身都是高效的散热器官， 使它能够发挥惊人的耐力。 当有人坐在它身上时，它会注意不烫伤对方。,https://paldb.cc/cn/Palpagos_Islands?pal=FireKirin&t=dayTimeLocations
59:0,true,13,65,13,65,15,15,27,29,280,280,0,0,它脸颊周围的绒毛能吸收冲击力。 就算被击飞几米也没什么大不了的， 但整理羽毛很麻烦，痒的地方又挠不到， 总觉得有些烦乱、郁闷。,https://paldb.cc/cn/Palpagos_Islands?pal=FluffyBird&t=dayTimeLocations
143:0,true,10,60,10,58,56,56,56,60,260,260,0,0,异常讨厌被人看到双眼。 如果有人强行盯着，它就会突然哭出来 之后两周左右的时间，对对方不理不睬。,https://paldb.cc/cn/Palpagos_Islands?pal=BadCatgirl&t=dayTimeLocations
78:0,true,23,48,23,48,23,23,28,38,55,55,0,0,这种帕鲁能操控阳之力量，施展奇妙的法术。 不论任何食物都喜欢吃全熟。 和暗巫猫的关系相当不好。,https://paldb.cc/cn/Palpagos_Islands?pal=FoxMage&t=dayTimeLocations
175:0,true,69,80,80,80,80,80,69,69,1,1,0,0,沁莲龙居住的水边，生有大量的外观相似的花朵。 研究者虽多次实验人工繁育花朵， 但只要进行了人为干预，无论怎样花朵都会枯萎。,https://paldb.cc/cn/Palpagos_Islands?pal=LotusDragon&t=dayTimeLocations
56:0,true,14,54,14,54,14,15,27,29,0,1119,0,0,它头上的角可通过沐浴月光生长。 虽然这种帕鲁并不讨厌阳光， 可是它的角在被太阳照射时会发痒。,https://paldb.cc/cn/Palpagos_Islands?pal=Werewolf&t=dayTimeLocations
57:0,true,14,57,14,57,15,15,17,40,264,1463,0,0,它曾经在天空中自由翱翔， 但在与天擒鸟的竞争中败北， 于是舍弃天空，过起了与黑夜共生的低调生活。,https://paldb.cc/cn/Palpagos_Islands?pal=DarkCrow&t=dayTimeLocations
148:0,true,13,67,13,67,65,66,56,66,107,107,0,0,它手里捧着的，是自己的灵魂。 当它找到了心仪的对象，就会将对方的灵魂强行抽出 并与自己的灵魂融合，以求成为一心同体。,https://paldb.cc/cn/Palpagos_Islands?pal=GhostRabbit&t=dayTimeLocations
74:0,true,13,80,13,80,30,30,27,29,67,67,0,0,它会用不同的节奏敲击地面与同伴沟通。 每种节奏所对应的意思会根据族群有所差异， 但人类至今仍未能完全理解其具体分类。,https://paldb.cc/cn/Palpagos_Islands?pal=Gorilla&t=dayTimeLocations
82:0,true,25,49,25,49,25,25,35,45,64,64,0,0,要是不小心和它对视，就会被操纵。 大部分带着秘斯媞雅的人 都以为自己才是主人。,https://paldb.cc/cn/Palpagos_Islands?pal=Mutant&t=dayTimeLocations
124:0,true,40,80,40,80,40,40,42,45,423,423,0,0,将天羽龙当作抱枕一同入睡， 就能体验如同身处天堂一般的舒适感。 但如果个体的睡相很差，那么会因被压扁而进入天堂。,https://paldb.cc/cn/Palpagos_Islands?pal=SkyDragon&t=dayTimeLocations
122:0,true,16,80,16,80,16,16,45,45,14,14,0,0,过去人们认为它是带来旱季的使者。 只要前一年发生干旱，人们就会全力驱逐这种帕鲁， 祈祷今年能够获得丰收。,https://paldb.cc/cn/Palpagos_Islands?pal=Suzaku&t=dayTimeLocations
181:0,true,66,78,76,78,76,78,66,66,1,1,40,40,当其生命走到尽头时，夜空中的某处便会多出一颗星星。 一生中的回忆越多，其光芒越是璀璨。,https://paldb.cc/cn/Palpagos_Islands?pal=MoonChild&t=dayTimeLocations
174:0,true,13,80,13,80,13,13,68,68,1,1,26,26,聚精会神，从火焰中窥探未来。 要是看见了不合心意的未来，就会一直重抽，直到抽出满意的结果。 所以昭炎狐的未来一直都是一片光明！,https://paldb.cc/cn/Palpagos_Islands?pal=FoxExorcist&t=dayTimeLocations
152:0,true,29,53,29,53,52,52,35,35,84,84,0,0,踏春兔跑过的地面会变得土质肥沃，草木也会长得很茂盛。 但如果喷上除草剂后， 它们就不会在这里跑动了。,https://paldb.cc/cn/Palpagos_Islands?pal=GrassRabbitMan&t=dayTimeLocations
154:0,true,53,66,53,66,53,55,56,63,352,352,0,0,在岛上还盛行炼金术的时候， 它持续闪耀的金色毛发作为炼金的触媒很受欢迎。 不久之后，人们提出了跨时代的见解。 既然同是金色的，那么炼金就只加工金毛不就好了嘛。,https://paldb.cc/cn/Palpagos_Islands?pal=GoldenHorse&t=dayTimeLocations
75:0,true,12,35,12,35,24,24,17,19,285,313,0,0,它流线型的外形很适合在水上活动。 因此经常被非法捕鱼团捕捉， 并被拿来代替冲浪板使用。,https://paldb.cc/cn/Palpagos_Islands?pal=Serpent&t=dayTimeLocations
21:0,true,23,80,80,80,80,80,23,23,1,1,0,0,统领着美露帕们。 君王美露帕之间的决斗，会以族群的统治权为赌注。 孤身一只的个体就是输家。,https://paldb.cc/cn/Palpagos_Islands?pal=KingAlpaca&t=dayTimeLocations
80:0,true,23,80,23,80,24,25,,,511,1109,0,0,它能从地狱召唤雷电。 如果被雷冥鸟释放的电流电死， 灵魂就会坠入地狱。,https://paldb.cc/cn/Palpagos_Islands?pal=HadesBird&t=dayTimeLocations
127:0,true,29,64,29,64,53,53,47,49,52,52,0,0,有着辟邪的特性， 昔日曾经作为优秀的伙伴，和岛民构筑起了良好的关系。 而现在，八云犬和人们之间已经垒起了名为「邪念」的高墙。,https://paldb.cc/cn/Palpagos_Islands?pal=GuardianDog&t=dayTimeLocations
43:1,true,16,38,16,35,20,20,36,38,790,790,0,0,它的性格会因出生地水温的不同而有所差异。 诞生于温暖水源地的水灵儿往往较为热情， 充满源源不绝的干劲。,https://paldb.cc/cn/Palpagos_Islands?pal=Kelpie_Fire&t=dayTimeLocations
139:0,true,55,80,68,80,68,68,55,55,36,36,0,0,它的外表曾被视作高贵的象征。 而在那些蔑视权贵的人眼里，它就成了醒目的标靶。 于是在不知不觉间，阿努比斯成为了死亡的象征。,https://paldb.cc/cn/Palpagos_Islands?pal=Anubis&t=dayTimeLocations
168:0,true,13,69,13,69,65,65,,,37,115,0,0,吓唬人就是它的生存意义，但是却完全不可怕。 但因为它太过可爱，大家总会忍不住装出被吓到的样子。 吓丝妮已经成为给人们带来笑容的使者了。,https://paldb.cc/cn/Palpagos_Islands?pal=OniGhostGirl&t=dayTimeLocations
111:0,true,34,43,34,43,34,35,,,10,31,0,0,性格极为纤细敏感， 遇到讨厌的事物，就会躲在洞窟里不愿出来。 而古人们也认为，若苍焰狼躲藏起来则是一种不吉之兆。,https://paldb.cc/cn/Palpagos_Islands?pal=AmaterasuWolf&t=dayTimeLocations
132:0,true,13,49,13,49,44,46,42,45,39,39,0,0,它的那双坚硬的爪子可使它轻而易举地登上险峻的山岭。 可是因为腿短的关系，并不擅长下山， 因此常常把自己困在山上，难以抽身。,https://paldb.cc/cn/Palpagos_Islands?pal=WhiteTiger&t=dayTimeLocations
171:0,true,65,80,65,80,65,65,69,69,1,1,0,0,直到最近才被目击到的全新帕鲁。 性情沉稳又安静，只是想要自由的生活着。 已经，不再有任何束缚了。,https://paldb.cc/cn/Palpagos_Islands?pal=GhostDragon&t=dayTimeLocations
71:0,true,20,58,20,57,30,32,35,58,44,47,0,0,它非常的粘人，字面意义上的如胶似漆。 越是想要甩开它，就会粘的越紧。 以上就是它的「性格」特征。,https://paldb.cc/cn/Palpagos_Islands?pal=PurpleSpider&t=dayTimeLocations
54:0,true,14,80,14,80,20,20,17,31,55,55,0,0,以前，它被认为是雷神的使者，不会被人类狩猎。 然而，当有人目击到它被闪电击中后死亡， 信仰逐渐消失，它也字面意思上沦落到当牛做马。,https://paldb.cc/cn/Palpagos_Islands?pal=Kirin&t=dayTimeLocations
96:0,true,30,80,30,80,30,30,37,40,505,505,0,0,虽说与燧火鸟外形相似，但并无任何关系。 它会采用快速俯冲，并用尖锐的喙击败敌人。 那身姿宛如落雷一般。,https://paldb.cc/cn/Palpagos_Islands?pal=ThunderBird&t=dayTimeLocations
110:0,true,33,80,33,80,33,34,47,49,247,247,0,0,吐息中混合着的疑似花粉的， 无论什么植物都能授粉成功的奇妙物质。 对于那些身上长有植物的帕鲁而言，这是个令兽心情复杂的家伙。,https://paldb.cc/cn/Palpagos_Islands?pal=Plesiosaur&t=dayTimeLocations
109:0,true,14,39,14,39,20,24,14,38,373,373,0,0,这种帕鲁过于放松时，所有反应都会变得极为迟缓。 即使身中28刀，大概也要到隔天早上 它才会发现自己早该死去。,https://paldb.cc/cn/Palpagos_Islands?pal=LazyCatfish&t=dayTimeLocations
166:0,true,13,69,13,69,65,65,,,37,115,0,0,睡着就变瘪了。 睡着了就不在里面了。 因为不存在睡着了的兜兜灵， 所以兜兜灵并没有睡着。,https://paldb.cc/cn/Palpagos_Islands?pal=HoodGhost&t=dayTimeLocations
121:0,true,55,80,80,80,80,80,55,55,1,1,0,0,传说有位贤者因冤罪而被推入漩涡， 随后以覆海龙之姿重生， 并一举毁灭了整个国家。,https://paldb.cc/cn/Palpagos_Islands?pal=Umihebi&t=dayTimeLocations
47:0,true,9,65,9,65,9,9,,,66,66,0,0,要是缺了其中一方，就会从不知何处出现替补者。 然后两者就会像无事发生般，开始和睦的生活在一起。 对于莉欧·莉涅来说，最重要的是「和睦相处」。,https://paldb.cc/cn/Palpagos_Islands?pal=ClioneTwins&t=dayTimeLocations
58:0,true,14,34,14,34,20,20,15,19,109,109,0,0,昔日这种帕鲁常常被肉食帕鲁所猎杀。 炽焰牛对此深感不平， 于是这股愤怒化作炽热的火焰，在世代之间代代相传。,https://paldb.cc/cn/Palpagos_Islands?pal=FlameBuffalo&t=dayTimeLocations
153:0,true,13,80,13,80,56,56,56,65,1,770,0,0,有着无法抑制住的想要将猎物大卸八块的本能。 具体从哪个部位开始，不同个体有着不同的讲究。 若是被幽恋娜抓到了，就祈祷它会从脑袋开始吧。,https://paldb.cc/cn/Palpagos_Islands?pal=GrimGirl&t=dayTimeLocations
89:0,true,28,57,28,57,28,28,,,106,106,0,0,它在寿命已尽时，会变成一株巨大的植物。 之后每十年绽放出美丽的花朵， 而新的花丽娜将会从中诞生。,https://paldb.cc/cn/Palpagos_Islands?pal=FlowerDoll&t=dayTimeLocations
67:0,true,19,38,19,38,28,30,,,43,43,0,0,它是发誓效忠女皇蜂的仆人。 誓死消灭对女王有害的一切事物。 甚至不惜采取自爆手段，也要守卫女王到最后一刻。,https://paldb.cc/cn/Palpagos_Islands?pal=SoldierBee&t=dayTimeLocations
55:0,true,10,36,10,36,14,14,27,29,66,66,0,0,这种帕鲁在很久以前是相当强大的巨型水栖帕鲁， 但食物减少后，它们就搬到了陆地上。 由于走路会消耗许多能量， 导致它们的体型逐渐变小，现在已经是非常弱小的帕鲁了。,https://paldb.cc/cn/Palpagos_Islands?pal=SharkKid&t=dayTimeLocations
172:0,true,35,70,35,70,66,66,65,69,27,27,0,0,要在食物匮乏的高空生存 有时甚至会连猎物的脑子都吃。 一种说法是，雷云鹫为了寻求更稳定的食物来源， 一部分族群从高空迁移到了低空，最终演化成了迅雷鸟。,https://paldb.cc/cn/Palpagos_Islands?pal=ThunderFluffyBird&t=dayTimeLocations
160:0,true,62,80,80,80,80,80,62,62,1,1,0,0,颈部周围覆盖的金属部件，有着类似磁铁的性质。 如果靠近脚部的部件，就会自己互相吸附在一起。 虽然在颈部堆积了金属垃圾之后，会不情不愿的开始清理 但是由于总也取不下而变得暴躁。,https://paldb.cc/cn/Palpagos_Islands?pal=WhiteShieldDragon&t=dayTimeLocations
108:0,true,23,80,33,80,33,35,23,23,493,493,0,0,它在交配前后，体味会发生巨大变化。 人们认为它找到伴侣后的香味芳香迷人， 并将其称为「初恋之香」。,https://paldb.cc/cn/Palpagos_Islands?pal=SakuraSaurus&t=dayTimeLocations
49:0,true,11,38,11,38,11,11,17,29,429,429,0,0,即使它抓着人，也能毫不费力地飞向天空。 可是在疲惫至极时就会二话不说地松开脚爪， 因而导致的高空坠落死亡事故屡见不鲜。,https://paldb.cc/cn/Palpagos_Islands?pal=Eagle&t=dayTimeLocations
37:0,true,5,39,5,39,10,10,27,29,1480,1480,0,0,为保护脆弱的本体，获得了坚硬的甲壳。 作为代价则完全舍弃了本体的防御力， 现在的它甚至会因为挠痒而陷入昏厥。,https://paldb.cc/cn/Palpagos_Islands?pal=TentacleTurtle&t=dayTimeLocations
125:0,true,40,57,40,57,55,55,47,49,20,20,0,0,一到开春时节，就会乘风在岛上散布花粉。 波娜兔之所以会得花粉症， 都怪春彩娘。,https://paldb.cc/cn/Palpagos_Islands?pal=LeafPrincess&t=dayTimeLocations
119:0,true,39,48,39,48,45,45,42,45,38,38,0,0,就算身体会在酷暑时融化，它还是痴迷于日光浴。 就算身体会在高温时融化，它依然痴迷于泡温泉。 反正最终都是一死，那么不如融化在艳阳高照的露天温泉里。,https://paldb.cc/cn/Palpagos_Islands?pal=IceWitch&t=dayTimeLocations
140:0,true,37,80,37,80,37,37,,,360,360,0,0,曾经脾气暴躁并被当作死亡的象征。 当阿努比斯变为死亡的象征后，寻求替代的富人们用酒灌醉它，并将其驯服。 不知从何时起，塞赫麦特成为了高贵的象征。,https://paldb.cc/cn/Palpagos_Islands?pal=Sekhmet&t=dayTimeLocations
84:0,true,10,39,25,39,25,25,10,13,262,262,0,0,它只要生气便会暴走，如同烈火一般不受控制。 因此「踩了花冠龙尾巴」这句话就是 指激怒某人的意思。,https://paldb.cc/cn/Palpagos_Islands?pal=FlowerDinosaur&t=dayTimeLocations
114:0,true,39,68,39,68,65,65,42,45,100,100,0,0,对时间很敏感，每天早晨必然在固定的时间醒来。 帕洛斯群岛的一天之所以被分为24个片段， 据说就是因为从正面看开屏的白真雪雀时， 尾羽上分割的空白区域有24个的缘故。,https://paldb.cc/cn/Palpagos_Islands?pal=SnowPeafowl&t=dayTimeLocations
170:0,true,65,72,65,72,65,65,,,29,29,0,0,爪尖的长毛是炫耀的资本。 它对于污渍很敏感，一直都小心翼翼的护理着毛发。 要是附近扬起了灰尘，就会露出非常嫌弃的表情。,https://paldb.cc/cn/Palpagos_Islands?pal=SleeveRabbit&t=dayTimeLocations
70:0,true,13,48,13,48,25,25,17,29,60,630,0,0,如果进入笑魇猫的领地， 它监视来者的眼睛就会闪闪发光。 这并不是比喻，而是真的会发光。,https://paldb.cc/cn/Palpagos_Islands?pal=NaughtyCat&t=dayTimeLocations
81:0,true,24,80,24,80,24,24,,,75,75,0,0,角上的那片叶子，无论如何拉扯也不会掉落。 而当它自行飘落时， 密林陶洛斯便感应到自身大限将至。,https://paldb.cc/cn/Palpagos_Islands?pal=GrassMinotaur&t=dayTimeLocations
161:0,true,63,80,63,80,63,65,66,66,113,113,0,0,和雷角马一样，曾经被视作雷神的使者。 由于雷角马不再受到人们信仰 便使得驭雷马被当作真正的雷神的使者 然而随着时代的变迁，它最终得到了拉车的马的地位。,https://paldb.cc/cn/Palpagos_Islands?pal=BlueThunderHorse&t=dayTimeLocations
130:0,true,35,80,35,80,50,60,56,63,2,179,0,0,它最为自豪的，就是自己如流水般柔顺的鬃毛。 如果发现了毛发分叉，就会害羞的无法集中精力奔跑。 由于静电会导致炸毛，绝对不会让驭雷马靠近。,https://paldb.cc/cn/Palpagos_Islands?pal=NightBlueHorse&t=dayTimeLocations
48:0,true,10,62,10,62,56,56,36,38,275,743,0,0,若要和它一起睡觉，最好确认下明天的行程。 吸盘的痕迹看起来就像吻痕， 如果被睡糊涂的它吸住，就会造成不必要的误解。,https://paldb.cc/cn/Palpagos_Islands?pal=OctopusGirl&t=dayTimeLocations
99:0,true,31,44,31,43,31,39,44,44,546,546,0,0,它的本体是一种能量体，内部是空的。 它会将猎物活生生地塞进外壳并将其吸收。 周围总是不断回响着地狱般的呻吟声。,https://paldb.cc/cn/Palpagos_Islands?pal=DarkScorpion&t=dayTimeLocations
131:0,true,42,50,42,46,42,42,50,50,17,17,0,0,通过撞击更坚硬的岩石，来保持自己中意的形体。 至于那些躯体凹陷的低沉个体还是放任自流吧。 用人来类比的话，就像不小心把刘海剪过头了。,https://paldb.cc/cn/Palpagos_Islands?pal=RockBeast&t=dayTimeLocations
50:0,true,11,73,11,73,11,11,,,0,159,22,22,迄今为止，所有养育过它们一族的人类的思念， 全都凝聚在它背后的手里。 近来，尽情宠爱念影喵似乎已成了大家的共识。,https://paldb.cc/cn/Palpagos_Islands?pal=GhostBlackCat&t=dayTimeLocations
76:0,true,21,37,21,37,30,30,27,29,52,52,0,0,这类帕鲁在森林里过着狩猎生活，特征习性等与人类十分接近。 在远古时代，便走上了与人类不同的进化之路。 但也许它们就是能解答「帕鲁为何物」这个问题的关键。,https://paldb.cc/cn/Palpagos_Islands?pal=RobinHood&t=dayTimeLocations
2:0,true,1,41,1,41,1,3,10,13,367,367,0,0,它装出一副威风凛凛的样子，其实胆小软弱。 如果被捣蛋猫看不起， 某种意义上可谓奇耻大辱。,https://paldb.cc/cn/Palpagos_Islands?pal=PinkCat&t=dayTimeLocations
