pal_id,world,x,y,time_of_day,level,is_boss
65:0,palpagos,-837484,-391984,both,63,false
65:0,palpagos,-835307,-415064,both,63,false
65:0,palpagos,-834911,-369473,both,63,false
65:0,palpagos,-833610,-361209,both,63,false
65:0,palpagos,-832171,-387658,both,63,false
65:0,palpagos,-831485,-352662,both,63,false
65:0,palpagos,-830353,-366159,both,63,false
65:0,palpagos,-828365,-357415,both,63,false
65:0,palpagos,-828337,-417730,both,63,false
65:0,palpagos,-826638,-383616,both,63,false
65:0,palpagos,-823689,-375094,both,63,false
65:0,palpagos,-823579,-353624,both,63,false
65:0,palpagos,-822180,-414743,both,63,false
65:0,palpagos,-819872,-359456,both,63,false
65:0,palpagos,-818537,-351114,both,63,false
65:0,palpagos,-816767,-414351,both,63,false
65:0,palpagos,-815367,-392421,both,63,false
65:0,palpagos,-815083,-356273,both,63,false
65:0,palpagos,-810119,-374766,both,63,false
65:0,palpagos,-805720,-371495,both,63,false
65:0,palpagos,-803008,-376541,both,63,false
65:0,palpagos,-801218,-358300,both,63,false
65:0,palpagos,-799325,-362554,both,63,false
65:0,palpagos,-796280,-356820,both,63,false
65:0,palpagos,-795803,-402603,both,63,false
65:0,palpagos,-795047,-370250,both,63,false
65:0,palpagos,-793497,-361988,both,63,false
65:0,palpagos,-792900,-374127,both,63,false
65:0,palpagos,-789842,-378607,both,63,false
65:0,palpagos,-789326,-402398,both,63,false
65:0,palpagos,-787680,-357770,both,63,false
65:0,palpagos,-785797,-349139,both,63,false
65:0,palpagos,-784243,-389548,both,63,false
65:0,palpagos,-782099,-383183,both,63,false
65:0,palpagos,-781026,-346956,both,63,false
65:0,palpagos,-778502,-387184,both,63,false
65:0,palpagos,-774733,-370975,both,63,false
65:0,palpagos,-773848,-345077,both,63,false
65:0,palpagos,-769944,-407430,both,63,false
65:0,palpagos,-768433,-355260,both,63,false
65:0,palpagos,-766992,-393699,both,63,false
65:0,palpagos,-766483,-411093,both,63,false
65:0,palpagos,-765806,-385876,both,63,false
65:0,palpagos,-763970,-363808,both,63,false
65:0,palpagos,-760534,-382570,both,63,false
65:0,palpagos,-759470,-396385,both,63,false
65:0,palpagos,-758745,-336693,both,63,false
65:0,palpagos,-757399,-341859,both,63,false
65:0,palpagos,-757233,-369941,both,63,false
65:0,palpagos,-753811,-345270,both,63,false
65:0,palpagos,-753214,-332742,both,63,false
65:0,palpagos,-751265,-352991,both,63,false
65:0,palpagos,-749662,-342144,both,63,false
65:0,palpagos,-746391,-334422,both,63,false
65:0,palpagos,-745492,-360134,both,63,false
65:0,palpagos,-744786,-327272,both,63,false
65:0,palpagos,-741777,-340333,both,63,false
65:0,palpagos,-740741,-352432,both,63,false
65:0,palpagos,-740403,-357310,both,63,false
65:0,palpagos,-738140,-336136,both,63,false
65:0,palpagos,-737282,-343172,both,63,false
65:0,palpagos,-735939,-332306,both,63,false
65:0,palpagos,-732589,-346553,both,63,false
65:0,palpagos,-730182,-329076,both,63,false
65:0,palpagos,-729688,-351765,both,63,false
65:0,palpagos,-726483,-347949,both,63,false
65:0,palpagos,-723843,-328991,both,63,false
41:0,palpagos,-417856,196155,both,,false
41:0,palpagos,-417408,196331,both,,false
41:0,palpagos,-416854,196421,both,,false
41:0,palpagos,-416326,196047,both,,false
41:0,palpagos,-415037,183802,both,,false
41:0,palpagos,-414662,183922,both,,false
41:0,palpagos,-414171,184509,both,,false
41:0,palpagos,-323102,431741,both,,false
41:0,palpagos,-322720,431070,both,,false
41:0,palpagos,-322387,431296,both,,false
41:0,palpagos,-319068,414300,both,,false
41:0,palpagos,-318588,414330,both,,false
41:0,palpagos,-318034,414246,both,,false
41:0,palpagos,-317645,413727,both,,false
41:0,palpagos,-256208,85620,both,35,false
41:0,palpagos,-250524,73039,both,35,false
41:0,palpagos,-246035,69130,both,35,false
41:0,palpagos,-242965,74357,both,35,false
41:0,palpagos,-234672,279291,both,,false
41:0,palpagos,-234193,279243,both,,false
41:0,palpagos,-233724,278181,both,,false
41:0,palpagos,-222594,282371,both,,false
41:0,palpagos,-222215,283122,both,,false
41:0,palpagos,-221720,283540,both,,false
41:0,palpagos,-221334,283255,both,,false
41:0,palpagos,-199261,457675,both,,false
41:0,palpagos,-198920,457890,both,,false
41:0,palpagos,-198554,457214,both,,false
41:0,palpagos,-195390,306030,both,,false
41:0,palpagos,-194861,437134,both,,false
41:0,palpagos,-194760,305390,both,,false
41:0,palpagos,-194560,306170,both,,false
41:0,palpagos,-194280,305680,both,,false
41:0,palpagos,-193930,305540,both,,false
41:0,palpagos,-193833,436967,both,,false
41:0,palpagos,-190069,439280,both,,false
41:0,palpagos,-189609,439737,both,,false
41:0,palpagos,-189201,439484,both,,false
41:0,palpagos,-184814,294571,both,,false
41:0,palpagos,-184470,294780,both,,false
41:0,palpagos,-184115,294099,both,,false
41:0,palpagos,-158852,322417,both,,false
41:0,palpagos,-158450,322430,both,,false
41:0,palpagos,-158414,323201,both,,false
41:0,palpagos,-148462,221115,both,,false
41:0,palpagos,-147770,220542,both,,false
41:0,palpagos,-147322,220879,both,,false
41:0,palpagos,-146959,220775,both,,false
41:0,palpagos,-145928,296551,both,,false
41:0,palpagos,-145369,296507,both,,false
41:0,palpagos,-144887,296580,both,,false
41:0,palpagos,-138644,298251,both,,false
41:0,palpagos,-138160,297650,both,,false
41:0,palpagos,-137671,297058,both,,false
41:0,palpagos,-137368,230411,both,,false
41:0,palpagos,-136990,230550,both,,false
41:0,palpagos,-136774,229813,both,,false
41:0,palpagos,-128781,237374,both,,false
41:0,palpagos,-128344,237425,both,,false
41:0,palpagos,-121691,241169,both,,false
41:0,palpagos,-121409,241571,both,,false
41:0,palpagos,-111234,288692,both,,false
41:0,palpagos,-110934,282376,both,,false
41:0,palpagos,-110600,289120,both,,false
41:0,palpagos,-110428,281634,both,,false
41:0,palpagos,-110092,282366,both,,false
41:0,palpagos,-109832,289098,both,,false
41:0,palpagos,-103349,281442,both,,false
41:0,palpagos,-102915,281647,both,,false
41:0,palpagos,-102759,280494,both,,false
41:0,palpagos,-102302,280322,both,,false
41:0,palpagos,-57090,104890,both,,false
41:0,worldTree,432395,-738990,both,80,false
41:0,worldTree,440875,-705850,both,80,false
41:0,worldTree,481910,-728450,both,80,false
41:0,worldTree,484050,-616590,both,80,false
41:0,worldTree,501340,-553790,both,80,false
41:0,worldTree,504895,-634410,both,80,false
41:0,worldTree,505061,-544208,both,80,false
41:0,worldTree,507600,-534060,both,80,false
41:0,worldTree,507830,-739460,both,80,false
41:0,worldTree,511395,-588755,both,80,false
41:0,worldTree,519080,-684705,both,80,false
41:0,worldTree,522790,-546340,both,80,false
41:0,worldTree,530795,-714440,both,80,false
41:0,worldTree,539955,-583230,both,80,false
41:0,worldTree,562240,-739265,both,80,false
41:0,worldTree,563900,-594970,both,80,false
41:0,worldTree,584800,-629000,both,80,false
41:0,worldTree,599576,-591256,both,80,false
41:0,worldTree,613035,-603440,both,80,false
41:0,worldTree,622300,-711610,both,80,false
41:0,worldTree,622665,-753354,both,80,false
41:0,palpagos,-246100,77200,both,40,true
162:0,palpagos,-807025,-1695,both,64,false
162:0,palpagos,-803845,-3715,both,64,false
162:0,palpagos,-803190,-205,both,64,false
162:0,palpagos,-801705,-2835,both,64,false
162:0,palpagos,-799700,4340,both,64,false
162:0,palpagos,-797345,-11860,both,64,false
162:0,palpagos,-797165,-8410,both,64,false
162:0,palpagos,-793675,-12700,both,64,false
162:0,palpagos,-793250,-6325,both,64,false
162:0,palpagos,-788955,-11895,both,64,false
162:0,palpagos,-788725,-6115,both,64,false
162:0,palpagos,-788700,5060,both,64,false
162:0,palpagos,-787810,-18440,both,64,false
162:0,palpagos,-786980,14630,both,64,false
162:0,palpagos,-786940,6670,both,64,false
162:0,palpagos,-786755,-2590,both,64,false
162:0,palpagos,-785615,-15855,both,64,false
162:0,palpagos,-784915,-11165,both,64,false
162:0,palpagos,-784020,3630,both,64,false
162:0,palpagos,-783170,-7430,both,64,false
162:0,palpagos,-782995,6065,both,64,false
162:0,palpagos,-782340,-10110,both,64,false
162:0,palpagos,-782085,-3310,both,64,false
162:0,palpagos,-781250,-15070,both,64,false
162:0,palpagos,-779775,-13355,both,64,false
162:0,palpagos,-778755,-1430,both,64,false
162:0,palpagos,-777205,-7925,both,64,false
162:0,palpagos,-775165,-3210,both,64,false
162:0,palpagos,-775065,-18225,both,64,false
162:0,palpagos,-774900,-6180,both,64,false
162:0,palpagos,-769050,-14160,both,64,false
162:0,palpagos,-767640,-11870,both,64,false
87:0,palpagos,-399906,214578,both,33,false
87:0,palpagos,-387600,214797,both,33,false
87:0,palpagos,-376193,273841,both,33,false
87:0,palpagos,-369739,268661,both,33,false
87:0,palpagos,-366887,271604,both,33,false
87:0,palpagos,-363483,49445,both,30,false
87:0,palpagos,-360081,202536,both,33,false
87:0,palpagos,-357354,58398,both,30,false
87:0,palpagos,-353287,256114,both,33,false
87:0,palpagos,-351708,34592,both,26,false
87:0,palpagos,-349541,276683,both,33,false
87:0,palpagos,-347398,98381,both,30,false
87:0,palpagos,-346648,61539,both,30,false
87:0,palpagos,-345943,103217,both,30,false
87:0,palpagos,-344167,241824,both,33,false
87:0,palpagos,-342259,80745,both,30,false
87:0,palpagos,-341382,257206,both,33,false
87:0,palpagos,-340786,235362,both,33,false
87:0,palpagos,-339509,114274,both,30,false
87:0,palpagos,-337844,250302,both,33,false
87:0,palpagos,-337261,90504,both,30,false
87:0,palpagos,-335920,199665,both,33,false
87:0,palpagos,-335140,191975,both,33,false
87:0,palpagos,-332606,99429,both,30,false
87:0,palpagos,-331135,218730,both,33,false
87:0,palpagos,-329253,43906,both,26,false
87:0,palpagos,-327880,248115,both,33,false
87:0,palpagos,-327322,116182,both,30,false
87:0,palpagos,-325672,96826,both,30,false
87:0,palpagos,-324205,233230,both,33,false
87:0,palpagos,-322540,216250,both,33,false
87:0,palpagos,-321636,124587,both,30,false
87:0,palpagos,-320815,195680,both,33,false
87:0,palpagos,-318015,100853,both,30,false
87:0,palpagos,-316940,112285,both,30,false
87:0,palpagos,-314056,78881,both,26,false
87:0,palpagos,-312605,223980,both,33,false
87:0,palpagos,-308053,120781,both,30,false
87:0,palpagos,-306690,217815,both,33,false
87:0,palpagos,-302440,234675,both,33,false
87:0,palpagos,-299495,233750,both,33,false
87:0,palpagos,-296537,120915,both,30,false
87:0,palpagos,-292573,117087,both,30,false
87:0,palpagos,-273765,32341,both,26,false
87:0,palpagos,-263787,22159,both,26,false
87:0,palpagos,-259537,31277,both,26,false
87:0,palpagos,-252095,32541,both,26,false
87:0,palpagos,-244037,50734,both,26,false
87:0,palpagos,-233248,45663,both,34,false
87:0,palpagos,-228404,48439,both,34,false
87:0,palpagos,-222638,45271,both,34,false
87:0,palpagos,-219146,33122,both,34,false
87:0,palpagos,-214298,46886,both,34,false
87:0,palpagos,-206042,12819,both,26,false
87:0,palpagos,-113681,133466,both,36,false
87:0,palpagos,-100439,143351,both,36,false
87:0,palpagos,-85383,151970,both,36,false
87:0,palpagos,-77009,153719,both,36,false
87:0,palpagos,-70501,134333,both,36,false
87:0,palpagos,-63408,171544,both,36,false
87:0,palpagos,-57141,136554,both,36,false
87:0,palpagos,-51263,144631,both,36,false
87:0,palpagos,-48422,166403,both,36,false
87:0,palpagos,-45095,81207,both,36,false
87:0,palpagos,-39532,43455,both,36,false
87:0,palpagos,-34929,41956,both,36,false
87:0,palpagos,-30664,41666,both,36,false
87:0,palpagos,-28111,32007,both,36,false
87:0,palpagos,-24884,164304,both,36,false
87:0,palpagos,-18259,175974,both,36,false
87:0,palpagos,-14818,119266,both,36,false
87:0,palpagos,48526,206072,both,36,false
87:0,worldTree,432395,-738990,both,80,false
87:0,worldTree,440875,-705850,both,80,false
87:0,worldTree,481910,-728450,both,80,false
87:0,worldTree,484050,-616590,both,80,false
87:0,worldTree,501340,-553790,both,80,false
87:0,worldTree,504895,-634410,both,80,false
87:0,worldTree,505061,-544208,both,80,false
87:0,worldTree,507600,-534060,both,80,false
87:0,worldTree,507830,-739460,both,80,false
87:0,worldTree,511395,-588755,both,80,false
87:0,worldTree,519080,-684705,both,80,false
87:0,worldTree,522790,-546340,both,80,false
87:0,worldTree,530795,-714440,both,80,false
87:0,worldTree,539955,-583230,both,80,false
87:0,worldTree,562240,-739265,both,80,false
87:0,worldTree,563900,-594970,both,80,false
87:0,worldTree,584800,-629000,both,80,false
87:0,worldTree,599576,-591256,both,80,false
87:0,worldTree,613035,-603440,both,80,false
87:0,worldTree,622300,-711610,both,80,false
87:0,worldTree,622665,-753354,both,80,false
87:0,palpagos,-343155,244585,both,38,true
113:0,palpagos,-170936,218233,both,34,false
113:0,palpagos,-161437,226103,both,34,false
113:0,palpagos,-160533,209701,both,34,false
113:0,palpagos,-152876,230695,both,34,false
113:0,palpagos,-150279,200395,both,34,false
113:0,palpagos,-143436,242920,both,34,false
113:0,palpagos,-140574,203967,both,34,false
113:0,palpagos,-134413,212450,both,34,false
113:0,palpagos,-127407,244840,both,34,false
113:0,palpagos,-126529,215605,both,34,false
113:0,worldTree,432395,-738990,both,80,false
113:0,worldTree,440875,-705850,both,80,false
113:0,worldTree,481910,-728450,both,80,false
113:0,worldTree,484050,-616590,both,80,false
113:0,worldTree,501340,-553790,both,80,false
113:0,worldTree,504895,-634410,both,80,false
113:0,worldTree,505061,-544208,both,80,false
113:0,worldTree,507600,-534060,both,80,false
113:0,worldTree,507830,-739460,both,80,false
113:0,worldTree,511395,-588755,both,80,false
113:0,worldTree,519080,-684705,both,80,false
113:0,worldTree,522790,-546340,both,80,false
113:0,worldTree,530795,-714440,both,80,false
113:0,worldTree,539955,-583230,both,80,false
113:0,worldTree,562240,-739265,both,80,false
113:0,worldTree,563900,-594970,both,80,false
113:0,worldTree,584800,-629000,both,80,false
113:0,worldTree,599576,-591256,both,80,false
113:0,worldTree,613035,-603440,both,80,false
113:0,worldTree,622300,-711610,both,80,false
113:0,worldTree,622665,-753354,both,80,false
178:0,worldTree,579115,-582725,both,75,false
178:0,worldTree,581010,-586890,both,75,false
178:0,worldTree,585960,-586235,both,75,false
178:0,worldTree,590610,-587630,both,75,false
178:0,worldTree,594230,-594325,both,75,false
178:0,worldTree,596218,-587630,both,75,false
178:0,worldTree,596495,-598040,both,75,false
178:0,worldTree,597880,-594560,both,75,false
178:0,worldTree,598440,-600775,both,75,false
178:0,worldTree,599315,-604335,both,75,false
178:0,worldTree,602205,-605480,both,75,false
178:0,worldTree,602545,-595815,both,75,false
178:0,worldTree,603555,-602650,both,75,false
178:0,worldTree,605065,-598600,both,75,false
178:0,worldTree,605360,-608475,both,75,false
178:0,worldTree,605790,-616460,both,75,false
178:0,worldTree,606065,-605255,both,75,false
178:0,worldTree,606655,-590165,both,75,false
178:0,worldTree,609260,-610030,both,75,false
178:0,worldTree,610548,-592982,both,75,false
178:0,worldTree,613440,-587645,both,75,false
178:0,worldTree,614075,-595570,both,75,false
178:0,worldTree,617685,-591900,both,75,false
178:0,worldTree,618175,-604800,both,75,false
178:0,worldTree,618405,-598720,both,75,false
178:0,worldTree,627024,-610782,both,75,false
36:0,palpagos,-259799,94047,both,25,false
36:0,palpagos,-256063,91448,both,25,false
36:0,palpagos,-254156,96012,both,25,false
36:0,palpagos,-248181,98912,both,25,false
36:0,palpagos,-243650,103234,both,25,false
36:0,palpagos,-238839,92662,both,25,false
36:0,palpagos,-236811,108032,both,25,false
36:0,palpagos,-236692,101112,both,25,false
36:0,palpagos,-234608,79624,both,25,false
36:0,palpagos,-234141,90436,both,25,false
36:0,palpagos,-233463,61615,both,25,false
36:0,palpagos,-232306,83500,both,25,false
36:0,palpagos,-231785,94301,both,25,false
36:0,palpagos,-231654,105516,both,25,false
36:0,palpagos,-228493,69671,both,25,false
36:0,palpagos,-227755,81233,both,25,false
36:0,palpagos,-227344,92719,both,25,false
36:0,palpagos,-226363,63116,both,25,false
36:0,palpagos,-225804,74124,both,25,false
36:0,palpagos,-224498,66942,both,25,false
36:0,palpagos,-223629,78791,both,25,false
36:0,palpagos,-223376,89614,both,25,false
36:0,palpagos,-221214,71910,both,25,false
36:0,palpagos,-221024,82827,both,25,false
36:0,palpagos,-220356,64579,both,25,false
36:0,palpagos,-219000,101692,both,25,false
36:0,palpagos,-218293,87461,both,25,false
36:0,palpagos,-217385,69168,both,25,false
36:0,palpagos,-216185,80213,both,25,false
36:0,palpagos,-214600,84542,both,25,false
36:0,palpagos,-213043,66629,both,25,false
36:0,palpagos,-212701,98189,both,25,false
36:0,palpagos,-212498,90175,both,25,false
36:0,palpagos,-211362,59646,both,25,false
36:0,palpagos,-209800,82519,both,25,false
36:0,palpagos,-208914,53170,both,25,false
36:0,palpagos,-208657,64092,both,25,false
36:0,palpagos,-208129,75077,both,25,false
36:0,palpagos,-206465,57126,both,25,false
36:0,palpagos,-206042,68769,both,25,false
36:0,palpagos,-186868,62506,both,,false
36:0,palpagos,-24316,72068,both,37,false
36:0,palpagos,-21782,64843,both,37,false
36:0,palpagos,-21353,79562,both,37,false
36:0,palpagos,-20938,83927,both,37,false
36:0,palpagos,-20147,68331,both,37,false
36:0,palpagos,-17259,74788,both,37,false
36:0,palpagos,-16171,77578,both,37,false
36:0,palpagos,-11614,75890,both,37,false
36:0,palpagos,-10650,90536,both,37,false
36:0,palpagos,-6752,75263,both,37,false
36:0,palpagos,-5812,104394,both,37,false
36:0,palpagos,-3210,60697,both,37,false
36:0,palpagos,-1612,95841,both,37,false
36:0,palpagos,-1036,84631,both,37,false
36:0,palpagos,-535,116175,both,37,false
36:0,palpagos,627,89241,both,37,false
36:0,palpagos,1230,72374,both,37,false
36:0,palpagos,1953,102000,both,37,false
36:0,palpagos,5259,120774,both,37,false
36:0,palpagos,5333,128376,both,37,false
36:0,palpagos,6348,112835,both,37,false
36:0,palpagos,9080,91553,both,37,false
36:0,palpagos,11148,127876,both,37,false
36:0,palpagos,15084,89775,both,37,false
36:0,palpagos,19283,122512,both,37,false
36:0,palpagos,23698,122883,both,37,false
36:0,palpagos,28478,126193,both,37,false
36:0,palpagos,29748,115296,both,37,false
36:0,palpagos,30707,123111,both,37,false
36:0,palpagos,35082,119994,both,37,false
36:0,palpagos,36271,114794,both,37,false
36:0,palpagos,-396003,53772,both,11,true
118:1,palpagos,-919951,-389386,both,63,false
118:1,palpagos,-914528,-399188,both,63,false
118:1,palpagos,-907490,-388682,both,63,false
118:1,palpagos,-902928,-374023,both,63,false
118:1,palpagos,-899455,-376411,both,63,false
118:1,palpagos,-897109,-368831,both,63,false
118:1,palpagos,-893575,-386995,both,63,false
118:1,palpagos,-891373,-380337,both,63,false
118:1,palpagos,-883992,-368986,both,63,false
118:1,palpagos,-879232,-366320,both,63,false
118:1,palpagos,-873419,-361427,both,63,false
118:1,palpagos,-867477,-372227,both,63,false
118:1,palpagos,-860109,-361023,both,63,false
118:1,palpagos,-857435,-366500,both,63,false
118:1,palpagos,-852069,-375685,both,65,false
118:1,palpagos,-846009,-360181,both,65,false
118:1,palpagos,-842687,-392522,both,65,false
118:1,palpagos,-836315,-355632,both,65,false
118:1,palpagos,-834581,-394745,both,65,false
118:1,palpagos,-832171,-387658,both,65,false
118:1,palpagos,-831038,-413325,both,65,false
118:1,palpagos,-830353,-366159,both,65,false
118:1,palpagos,-828365,-357415,both,65,false
118:1,palpagos,-826638,-383616,both,65,false
118:1,palpagos,-823689,-375094,both,65,false
118:1,palpagos,-822763,-368852,both,65,false
118:1,palpagos,-821411,-379927,both,65,false
118:1,palpagos,-820133,-456976,both,65,false
118:1,palpagos,-818620,-420003,both,65,false
118:1,palpagos,-817190,-366428,both,65,false
118:1,palpagos,-816767,-414351,both,65,false
118:1,palpagos,-815289,-475503,both,65,false
118:1,palpagos,-813289,-465326,both,65,false
118:1,palpagos,-811788,-457161,both,65,false
118:1,palpagos,-809058,-449083,both,65,false
118:1,palpagos,-808444,-414283,both,65,false
118:1,palpagos,-807299,-421314,both,65,false
118:1,palpagos,-805071,-412531,both,65,false
118:1,palpagos,-803358,-448184,both,65,false
118:1,palpagos,-801092,-405319,both,65,false
118:1,palpagos,-800254,-430172,both,65,false
118:1,palpagos,-797898,-408456,both,65,false
118:1,palpagos,-796613,-387424,both,65,false
118:1,palpagos,-794702,-412807,both,65,false
118:1,palpagos,-793630,-392812,both,65,false
118:1,palpagos,-791953,-432450,both,65,false
118:1,palpagos,-789326,-402398,both,65,false
118:1,palpagos,-785289,-442142,both,65,false
118:1,palpagos,-781681,-412962,both,65,false
118:1,palpagos,-779925,-439814,both,65,false
118:1,palpagos,-777124,-444592,both,65,false
118:1,palpagos,-774713,-436911,both,65,false
118:1,palpagos,-772618,-441677,both,65,false
118:1,palpagos,-79366,-79198,both,47,false
118:1,palpagos,-75487,-81712,both,47,false
118:1,palpagos,-73998,-71139,both,47,false
118:1,palpagos,-67898,-10645,both,47,false
118:1,palpagos,-66375,-72995,both,47,false
118:1,palpagos,-64058,-80825,both,47,false
118:1,palpagos,-63079,-5007,both,47,false
118:1,palpagos,-60649,-9059,both,47,false
118:1,palpagos,-55022,-24253,both,47,false
118:1,palpagos,-53669,-41481,both,47,false
118:1,palpagos,-52439,-48315,both,47,false
118:1,palpagos,-49895,-29791,both,47,false
118:1,palpagos,-48248,-79602,both,47,false
118:1,palpagos,-46420,-40838,both,47,false
118:1,palpagos,-43431,-74099,both,47,false
118:1,palpagos,-40163,-44334,both,47,false
118:1,palpagos,-39354,-19523,both,47,false
118:1,palpagos,-35500,-52344,both,47,false
118:1,palpagos,-31658,-46787,both,47,false
118:1,worldTree,458095,-694560,both,75,false
180:0,worldTree,413365,-745685,both,75,false
180:0,worldTree,422850,-747095,both,75,false
180:0,worldTree,423415,-720345,both,75,false
180:0,worldTree,424390,-705860,both,75,false
180:0,worldTree,424855,-741670,both,75,false
180:0,worldTree,425770,-726380,both,75,false
180:0,worldTree,427665,-704000,both,75,false
180:0,worldTree,427855,-720335,both,75,false
180:0,worldTree,428625,-697450,both,75,false
180:0,worldTree,428815,-734100,both,75,false
180:0,worldTree,429090,-727460,both,75,false
180:0,worldTree,431090,-717645,both,75,false
180:0,worldTree,433955,-743395,both,75,false
180:0,worldTree,434905,-714795,both,75,false
180:0,worldTree,435515,-704095,both,75,false
180:0,worldTree,436055,-719665,both,75,false
180:0,worldTree,437165,-697605,both,75,false
180:0,worldTree,437760,-735275,both,75,false
180:0,worldTree,438195,-707860,both,75,false
180:0,worldTree,438705,-690105,both,75,false
180:0,worldTree,440470,-713330,both,75,false
180:0,worldTree,442510,-698860,both,75,false
180:0,worldTree,443745,-719270,both,75,false
180:0,worldTree,446330,-736755,both,75,false
180:0,worldTree,447755,-724550,both,75,false
180:0,worldTree,448700,-687870,both,75,false
180:0,worldTree,450185,-692200,both,75,false
180:0,worldTree,450435,-728925,both,75,false
180:0,worldTree,452195,-678390,both,75,false
180:0,worldTree,456885,-691675,both,75,false
180:0,worldTree,457195,-684730,both,75,false
180:0,worldTree,463290,-679190,both,75,false
180:0,worldTree,468805,-676585,both,75,false
180:0,worldTree,471985,-657705,both,75,false
180:0,worldTree,477295,-669335,both,75,false
180:0,worldTree,483310,-664680,both,75,false
180:0,worldTree,483570,-670065,both,75,false
180:0,worldTree,490075,-663615,both,75,false
180:0,worldTree,493703,-667221,both,75,false
180:0,worldTree,495540,-672675,both,75,false
180:0,worldTree,499280,-659155,both,75,false
180:0,worldTree,510770,-662615,both,75,false
151:0,palpagos,-926750,-402500,day,,false
151:0,palpagos,-926400,-402170,day,,false
151:0,palpagos,-925920,-401880,day,,false
151:0,palpagos,-925290,-402510,day,,false
151:0,palpagos,-920500,-394791,day,,false
151:0,palpagos,-920314,-394258,day,,false
151:0,palpagos,-919849,-395324,day,,false
151:0,palpagos,-913660,-383839,day,,false
151:0,palpagos,-913291,-383932,day,,false
151:0,palpagos,-912863,-383569,day,,false
151:0,palpagos,-912218,-383617,day,,false
151:0,palpagos,-886000,-488400,day,,false
151:0,palpagos,-885710,-488680,day,,false
151:0,palpagos,-885435,-488399,day,,false
151:0,palpagos,-884820,-353312,day,,false
151:0,palpagos,-884561,-354115,day,,false
151:0,palpagos,-884371,-352970,day,,false
151:0,palpagos,-884020,-353408,day,,false
